MASTER_CLIENT_CODE,RO_NO,RO_NO_CLIENT_CODE,MASTER_CLIENT_NAME,ATTACHMENT1,ATTACHMENT2
MA2637,21207/11/0003/2122,21207,"MAHATMA GANDHI INTERNATIONAL,NEW DELHI",GKP davp_release_order_20210907183058.pdf,
107342,10602/11/0030/2122,10602,"DG SUPPLIES & TRANSPORT,[C/O 56 APO]",DNA1202100009393_20210921174734.pdf,
26254,37112/13/0001/2122,37112,"MINISTRY OF ROAD TRANSPORT & HIGHWAYS,[NEW DELHI] ,DELHI","Ro 37112_13_0001_2122_20210926201448.pdf,DNA1202100009640_20210927153209.pdf",
16628,35101/11/0005/2122,35101,"DEPT OF RURAL DEVELOPMENT, NEW DELHI",DNA1202100010229_20211007212032.pdf,
42201,10631/11/0005/2122,10631,"ARMY TRAINING COMMAND,SHIMLA,[H.P.]",DNA1202100010189_20211007191449.pdf,
97762,19112/11/0126/2122,19112,"INDO TIBETAN BORDER POLICE 25 TH BN,[TEJU]",DNA1202100010500_20211014162223.pdf,
93895,22107/11/0004/2122,22107,"SATYAJIT RAY FILM & TELEVISION INSTT.,[KOLKATA]",DNA1202100011409_20211102201019.pdf,
NA417,17180/11/0006/2122,17180,NATIONAL HEALTH AUTHORITY,DNA1202100011507_20211105181526.pdf,
16503,19117/11/0004/2122,19117,"BUREAU OF POLICE RESEARCH & DEV, NEW DELHI",DNA1202100011696_20211110182936.pdf,
45328,10119/11/0009/2122,10119,"COAST GUARD HEADQURTERS, [NEW DELHI]",DNA1202100012780_20211202191641.pdf,
16841,14106/11/0010/2122,14106,"MINISTRY OF EXTERNAL AFFAIRS, NEW DELHI",DNA1202100012864_20211203190740.pdf,
15847,06102/11/0008/2122,06102,"DOEACC SOCIETY, NEW DELHI",DNA1202100013557_20211217145716.pdf,
DE1355,15601/11/0001/2122,15601,DEPTT. OF INVESTMENT AND PUBLIC ASSET MGMT,DNA1202100013351_20211213200054.pdf,
NH15,37112/11/0004/2122,37112,"NHIDCL,NEW DELHI",DNA1202100013593_20211217191257.pdf,
DE895,19201/11/0005/2122,19201,DEPTT. OF OFFICIAL LANGUAGE,DNA1202100013909_20211223184645.pdf,
16113,09101/11/0031/2122,09101,"MINISTRY OF CULTURE, NEW DELHI",DNA1202200000184_20220105164341.pdf,
31878,37107/15/0003/2122,37107,"NATIONAL HIGHWAY AUTHORITY, [PANCHKULA]",DNA1202200000181_20220105145843.pdf,
41195,10201/11/0024/2122,10201,"ORDNANCE FACTORY BOARD,[MURADNAGAR]",DNA1202200000294_20220107160951.pdf,
GE179,26104/11/0005/2122,26104,"GEOLOGICAL SURVEY OF INDIA,NEW DELHI",DNA1202200000575_20220114150809.pdf,
DI680,10110/13/0001/2122,10110,"DIRECTORATE GENERAL NCC,NEW DELHI",28davp1_DEL COL release_order_20220127215245.pdf,
116588,05209/11/0003/2122,05209,"PETROLEUM & EXPLOSIVES SAFETY ORGANISATION[DEPT OF EXPLOSIVE],[NAGPUR]",DNA1202200001567_20220205211628.pdf,
16026,21284/12/0004/2122,21284,"JAWAHARLAL NEHRU UNIVERSITY, NEW DELHI",DNA1202200002266_20220221152411.pdf,
TH1309,04107/11/0003/2122,04107,"THE NOMINATED AUTHORITY,NEW DELHI",DNA1202200002060_20220216180910.pdf,
16895,19125/11/0003/2122,19125,"NATIONAL INST OF CRIMINOLOGY& FOREN  SCI, NEW DELHI",DNA1202200002448_20220224195155.pdf,
AR519,36111/12/0004/2122,36111,ARYA BHATT RES.INSTT OF OBSERVATIONAL SCIENCES,DNA1202200003186_20220311163502.pdf,
IN655,38103/12/0014/2122,38103,"INSTITUTE FOR PHYSICALLY HANDICAPPED,NEW DELHI",DNA1202200003379_20220315185949.pdf,
IN358,07110/12/0006/2122,07110,INVESTOR EDUCATION & PROTECTION FUND AUTHORITY DEL,DNA1202200003573_20220319174208.pdf,
17076,01222/12/0004/2122,01222,"VETERINARY COUNCIL OF INDIA, NEW DELHI",DNA1202200003570_20220319173309.pdf,
16843,15601/11/0003/2122,15601,"MINISTRY OF FINANCE, NEW DELHI",DNA1202200004218_20220330203404.pdf,
HE185,17102/13/0002/2223,17102,HEALTH AND FAMILY WELFARE GNCTD,DNA1202200004542_20220407143810.pdf,
16521,50101/11/0002/2223,50101,"CENTRAL INFORMATION COMMISSION, NEW DELHI",DNA1202200005035_20220415143653.pdf,
16131,43101/13/0004/2223,43101,"MINISTRY OF TRIBAL AFFAIRS, NEW DELHI",DNA1202200004998_20220414152904.pdf,
16612,08201/13/0001/2223,08201,"DEPT OF FOOD & PUBLIC  DISTRIBUTION, NEW DELHI",DNA1202200004847_20220412174430.pdf,
182328,15415/13/0001/2223,15415,"DEPT OF FINANCIAL SERVICE-BANKING DIVISION ,NEW DELHI",DNA1202200005101_20220416195104.pdf,
EL132,48138/12/0002/2223,48138,ELECTRONICS CORPORATION OF INDIA ECIL,DNA1202200005180_20220419144020.pdf,
153607,35301/13/0002/2223,35301,"MINISTRY OF DRINKING WATER & SANITATION ,NEW DELHI",DNA1202200005142_20220418155034.pdf,
76027,15311/11/0001/2223,15311,"INCOME TAX  DEPARTMENT, [CHANDIGARH]",DNA1202200006160_20220509191737.pdf,
IN789,32207/12/0002/2223,32207,INSTITUTE OF SECRETARIAT TRAINNING & MGMT NEW DELH,DNA1202200006374_20220513183723.pdf,
NA881,38113/12/0003/2223,38113,NATIONAL INTT. FOR ORTHOPAEDICALLY HANDICAPPED,DNA1202200006867_20220524202557.pdf,
76739,38107/12/0001/2223,38107,ALI YAVAR JUNG INSTT.[MUMBAI],DNA1202200006948_20220526181501.pdf,
TH787,07108/15/0001/2223,07108,THE INSTITUTE OF CHARTERED ACCOUNTANTS OF INDIA,DNA1202200007623_20220606200920.pdf,
16616,22201/13/0028/2223,22201,"DEPT OF INFORMATION & BROADCASTING, NEW DELHI",DNA1202200007584_20220606150126.pdf,
19137,21248/12/0001/2223,21248,CENTRAL INSTITUTE OF INDIAN LANGUAGES MYSORE,DNA1202200007330_20220601155901.pdf,
NI599,06141/12/0005/2223,06141,"NIELIT ,CHANDIGARH",DNA1202200007540_20220604171950.pdf,
15767,22204/11/0006/2223,22204,"DAVP, NEW DELHI",DNA1202200008057_20220613211518.pdf,
92763,19110/11/0041/2223,19110,"BORDER SECURITY FORCE,[56 APO]",DNA1202200008243_20220617193429.pdf,
RA851,03110/12/0002/2223,03110,"RAJIV GANDHI NATIONALAVIATION UNIVERSITY,NEW DELHI",DNA1202200008421_20220621191941.pdf,
CE227,10803/11/0003/2223,10803,"CENTRAL AIRMEN SELECTION BOARD,NEW DELHI",DNA1202200008429_20220621193414.pdf,
108664,10901/11/0014/2223,10901,"BORDER ROADS ORGANISATION,[NEW DELHI]",DNA1202200008400_20220621182945.pdf,
71229,10603/11/0002/2223,10603,"NORTHERN COMMAND,[56 APO]",DNA1202200008860_20220701164755.pdf,
16857,32101/11/0001/2223,32101,"MINISTRY OF PERSONNAL PUB GRIEVAN & PEN, NEW DELHI",DNA1202200008903_20220701214754.pdf,
NA1876,21103/12/0021/2223,21103,NATIONAL BOOK TRUST NEW DELHI,DNA1202200008912_20220702164506.pdf,
41940,06132/12/0008/2223,06132,"CENTRE FOR DEVE. OF ADVANCE COMPG.,[PUNE]",DNA1202200008929_20220702190134.pdf,
18657,45103/12/0007/2223,45103,"CENTRAL GROUND WATER BOARD, FARIDABAD",DNA1202200008721_20220628170451.pdf,
144412,38116/12/0002/2223,38116,"NATIONAL SCHEDULED CASTES FINANCE & DEVELOPMENT CORPN., [DELHI]",DNA1202200009147_20220707204519.pdf,
MO733,17213/12/0011/2223,17213,MORARJI DESAI NATIONAL INST OF YOGA NEW DELHI,DNA1202200009924_20220722205836.pdf,
217965,06149/12/0008/2223,06149,"NATIONAL INSTITUTE OF ELECTRONIC AND INFORMATION TECHNOLOGY ,HARIDWAR",DNA1202200010238_20220730144700.pdf,
19229,22301/15/0003/2223,22301,PRASAR BHARTI NEW DELHI,DNA1202200010977_20220813185818.pdf,
16858,34101/13/0002/2223,34101,"MINISTRY OF POWER, NEW DELHI",DNA1202200010239_20220730144706.pdf,
83842,19135/11/0002/2223,19135,"NATIONAL FIRE SERVICE COLLEGE,[NAGPUR]",DNA1202200010580_20220805204642.pdf,
46939,FMG-10622/11/0040/2223,FMG-10622,"MILITARY HOSPITAL, [ROORKEE]",DNA1202200010752  FW  Request for re published wrongly published ad RO 10622_11_0040_2223 - (nat-adopshod@bs_20220810180906.amarujala,
IN110,01302/12/0009/2223,01302,INDIAN COUNCIL OF AGRICULTURAL RESEARCH,DNA1202200011381_20220824174649.pdf,
6919,38102/12/0020/2223,38102,"NATIONAL INST FOR VISUALYY HANDICAPPED, DEHRADUN",DNA1202200011410_20220824201137.pdf,
RA2198,03110/12/0009/2223,03110,RAJIV GANDHI NATIONAL AVIATION UNIVERSITY,DNA1202200011631_20220830181552.pdf,
46234,06132/12/0019/2223,06132,"C-DAC,[PUNE]",DNA1202200012250_20220913151335.pdf,
16520,45103/12/0012/2223,45103,"CENTRAL GROUND WATER  BOARD, NEW DELHI",DNA1202200012279_20220913185632.pdf,
161342,25113/12/0032/2223,25113,"MICRO SMALL AND MEDIUM ENTERPRISES, [JAMMU] ,JAMMU",DNA1202200011832_20220903171051.pdf,
AY106,17180/15/0005/2223,17180,AYUSHMAN BHARAT PM JAN AROGYA YOJANA,DNA1202200013021_20220926201742.pdf,
124760,21202/12/0002/2223,21202,"INDIAN COUNCIL OF PHILOSOPHICAL RESEARCH,[LUCKNOW]",DNA1202200012999_20220926183334.pdf,
15978,17111/12/0002/2223,17111,"INDIAN NURSING COUNCIL, NEW DELHI",DNA1202200013139_20220928174248.pdf,
16550,07112/12/0003/2223,07112,"COMPETITION COMMISSION OF INDIA, NEW DELHI",DNA1202200013005_20220926185640.pdf,
CS0,36211/12/0004/2223,36211,"CSIR-CENTRAL ROAD RESEARCH INSTITUTE,NEW DELHI",DNA1202200013113_20220928150232.pdf,
33471,10301/11/0108/2223,10301,"DEFENCE RESEARCH & DEVELOPMENT ORGANISATION DEAL, [DEHRADUN]",DNA1202200012809_20220923152702.pdf,
16517,15502/13/0013/2223,15502,"CENTRAL EXCISE & CUSTOM, NEW DELHI",DNA1202200013373_20220930210552.pdf,
IN883,48129/12/0042/2223,48129,INDIAN RARE EARTHS LIMITED,DNA1202200013824_20221010184404.pdf,
16876,44103/12/0004/2223,44103,"NATIONAL CAPITAL REGION PLANNING BOARD, NEW DELHI",DNA1202200014480_20221020204459.pdf,
40653,06245/12/0005/2223,06245,"MINISTRY OF COMMUNICATION & IT,[DEHRADUN]",DNA1202200013997_20221012202140.pdf,
16461,01307/12/0003/2223,01307,"AGRICULTURAL SCIENTIST RECRU BOARD, NEW DELHI",DNA1202200014946_20221101174410.pdf,
92334,07104/11/0011/2223,07104,"OFFICIAL LIQUIDATOR,[NEW DELHI]",DNA1202200015138_20221105164416.pdf,
70444,17135/11/0005/2223,17135,"DGHS HEADQUARTER,[NEW DELHI]",DNA1202200015374_20221111151221.pdf,
16871,09108/12/0008/2223,09108,"NATIONAL ARCHIVES OF INDIA, NEW DELHI",DNA1202200016059_20221125153259.pdf,
NA1496,38125/12/0010/2223,38125,NATIONAL COMMISSION FOR SCHEDULE CASTES DELHI,DNA1202200015939_20221122202011.pdf,
AL72,17191/12/0001/2223,17191,ALL INDIA INSTITUTE OF MEDICAL SCIENCE GORAKHPUR,DNA1202200015747_20221118180135.pdf,
IN987,15401/13/0010/2223,15401,"INCOME TAX PR & RSP,NEW DELHI",DNA1202200016802_20221210153349.pdf,
63702,17152/12/0024/2223,17152,"INDIAN COUNCIL OF MEDICAL RESEARCH[ICMR],[V. RAMLINGAM BHAVANANSARI NAGAR]",DNA1202200016724_20221209160413.pdf,
CE34,21353/12/0011/2223,21353,CENTRAL UNIVERSITY OF KERALA,DNA1202200016420_20221202203122.pdf,
50,23170/12/0008/2223,23170,ESIC REGIONAL OFFICE BADDI HP,DNA1202200017231_20221219181340.pdf,
15956,01304/12/0003/2223,01304,"ICAR, NEW DELHI",DNA1202200017395_20221222180355.pdf,
6746,10628/11/0001/2223,10628,"INDIAN MILITARY ACADEMY, DEHRADUN",DNA1202200017268_20221220164121.pdf,
IN1043,36304/12/0025/2223,36304,INSTITUTE FOR STEM CELL SCIENCE & REGENERATIVE MED,"DNA1202300001747_20230203191355.pdf,DNA1202300001747  Screenshot_20230203205808.jpg",
98750,22104/11/0002/2223,22104,"FILM & TELEVISION INSTITUTE,[PUNE]",DNA1202300001681_20230202201955.pdf,
NA429,07122/12/0002/2223,07122,NATIONAL FINANCIAL REPORTING AUTHORITY NFRA,DNA1202300001844_20230206202256.pdf,
84136,10610/11/0002/2223,10610,"ADG MOVEMENT,[56 APO]",DNA1202300002412_20230217163927.pdf,
204624,01115/12/0111/2223,01115,"AGRICULTURE INSURANCE COMPANY OF INDIA LTD. ,DELHI",DNA1202300002474_20230217202425.pdf,
DE1879,02107/13/0014/2223,02107,DEPARTMENT OF PHARMACEUTICALS,DNA1202300003351_20230306212926.pdf,
NI316,38102/12/0005/2324,38102,NIEPVD DEHRADUN,DNA1202300005573_20230419163709.pdf,
16878,46105/12/0001/2324,46105,"NATIONAL COMMISSION  FOR WOMEN, NEW DELHI",DNA1202300005477_20230417175804.pdf,
76294,36118/12/0001/2324,36118,"NATIONAL INNOVATION FOUNDATION,[AHMEDABAD]",DNA1202300006324_20230503170158.pdf,
NA3,01113/12/0004/2324,01113,NATIONAL HORTICULTURE BOARD,DNA1202300006766_20230512150637.pdf,
BO143,36119/12/0003/2324,36119,BOSE INSTITUTE CENTRAL AUTONOMOUS S & T INSTITUTE,DNA1202300007403_20230524185730.pdf,
15726,32205/11/0016/2324,32205,"CENTRAL BUREAU OF INVESTIGATION, NEW DELHI","DNA1202300007972_20230603151034.pdf,DNA1202300007972_20230603180648.jpg,DNA1202300007972-APPROVAL_20230603180711.jpg",
DO183,06102/12/0003/2324,06102,"DOEACC, NEW DELHI",DNA1202300007780_20230531183907.pdf,
222829,21345/12/0001/2324,21345,"INDIRA GANDHI NATIONAL TRIBAL UNIVERSITY ,ANUPPUR",DNA1202300008428_20230612182916.pdf,
42061,55101/14/0001/2324,55101,"UPSC[EXAM.],[NEW DELHI]",DNA1202300008345_20230609210219.pdf,
IN17,06346/12/0002/2324,06346,INDIA POST PAYMENTS BANK LIMITED,DNA1202300008928_20230620183612.pdf,
TE262,10120/11/0002/2324,10120,"TERRITORIAL ARMY,NEW DELHI",DNA1202300008743_20230616210838.pdf,
121350,06155/12/0005/2324,06155,"NATIONAL INSTITUTE OF ELECTRONICS & INFORMATION TECH,[JAMMU]",DNA1202300009146_20230624150008.pdf,
233975,48143/12/0001/2324,48143,"DEPT OF ATOMIC ENERGY-AEES ,MUMBAI",DNA1202300010707_20230722184050.pdf,
32163,22213/11/0001/2324,22213,"PUBLICATION DIVISION, [NEW DELHI]",DNA1202300011071_20230728201149.pdf,
16833,04107/12/0003/2324,04107,"MINISTRY OF COAL & MINES, NEW DELHI",DNA1202300011354_20230803150559.pdf,
NA1356,43107/12/0015/2324,43107,NATIONAL EDUCATION SOCIETY OF TRIBAL STUDENTS,DNA1202300011379_20230803182707.pdf,
NI578,54102/13/0001/2324,54102,NITI AYOG NEW DELHI,DNA1202300011445_20230804190000.pdf,
CE296,22204/11/0002/2324,22204,CENTRAL BUREAU OF COMMUNICATION,DNA1202300013444_20230908163418.pdf,
16836,06301/13/0002/2324,06301,"MINISTRY OF COMMUNICATION &  INFOR TECH , NEW DELHI",DNA1202300014499_20230925185810.pdf,
NI838,04107/12/0005/2324,04107,"NIT OFFICE OF THE NOMINATED AUTHORITY,NEW DELHI",DNA1202300012763_20230828161020.pdf,
16832,03111/12/0008/2324,03111,"MINISTRY OF CIVIL AVIATION, NEW DELHI",DNA1202300016589_20231030220302.pdf,
16889,53101/12/0006/2324,53101,"NATIONAL HUMAN RIGHTS COMMISSION, NEW DELHI",DNA1202300013738_20230913190724.pdf,
88344,25131/12/0013/2324,25131,"COIR BOARD,[KOCHI]",DNA1202300014505_20230925190417.pdf,
42639,13136/12/0009/2324,13136,"G.B.PANT INSTITUTE OF HIMALAYAN ENVIRONMENT & DEVELOPMENT,[ALMORA]",DNA1202300013808_20230914184916.pdf,
36408,25113/12/0049/2324,25113,"MSME DEVELOPMENT INSTITUTE,[ALLAHABAD]",DNA1202300017057_20231107185817.pdf,
CE145,06147/12/0001/2324,06147,CENTRE FOR DEVELOPMENT OF ADVANCE COMPUTING KOLKAT,DNA1202300014681_20230928143408.pdf,
CE288,07123/11/0069/2324,07123,CENTRE FOR PROCESSING ACCELERATED CORPORATE EXIT,DNA1202300012960_20230830172844.pdf,
2032,05216/12/0005/2324,05216,"NATIONAL INST OF DESIGN, AHMEDABAD",DNA1202300014588_20230927143305.pdf,
DE2096,10301/11/0134/2324,10301,"DEPTT. OF DEFENCE RESEARCH & DEVELOPMENT/DRDO,BANG",DNA1202300017724_20231120181713.pdf,
CO525,15227/12/0004/2324,15227,"COUNCIL OF INSURANCE OMBUDSMEN,MUMBAI",DNA1202300016800_20231102193138.pdf,
16842,17102/13/0034/2324,17102,"MINISTRY OF FAMILY WELFARE, NEW DELHI",DNA1202300014659_20230927201707.pdf,
19166,09102/13/0004/2324,09102,ARCHEOLOGICAL SURVEY OF INDIA NEW DELHI,DNA1202400001598_20240122204713.pdf,
CH1458,06341/12/0005/2324,06341,CHIEF POST MASTER GENERAL  PUNJAB CIRCLE,DNA1202300019436_20231216204350.pdf,
228512,06201/11/0011/2324,06201,"D/O TELECOMMUNICATION ,NEW DELHI",DNA1202300018834_20231207184838.pdf,
G.195,13136/12/0037/2324,13136,G.B. PANT NATIONAL INSTITUTE OF HIMALAYAN ENVIRONM,DNA1202400002706_20240206211036.pdf,
DI1327,05128/11/0003/2324,05128,"DIRECTORATE GENERAL OF TRADE REMEDIES,NEW DELHI",DNA1202400003189_20240212201132.pdf,
FT1,22104/12/0003/2324,22104,"FTII,PUNE",DNA1202400000783_20240111211600.pdf,
MI262,41101/11/0010/2324,41101,MINISTRY OF TEXTILE DELHI,DNA1202400001251_20240117212957.pdf,
133567,06148/12/0002/2324,06148,"NIELIT,[SHIMLA]",DNA1202400000212_20240104182818.pdf,
LE150,24301/11/0003/2324,24301,LEGISLATIVE DEPARTMENT,DNA1202400000246_20240104210720.pdf,
NA859,01375/12/0010/2324,01375,"NATIONAL INSTITUTE OF AGRICULTURE,NIAM,JAIPUR",DNA1202400000269_20240105152404.pdf,
117951,63113/12/0005/2324,63113,"NATIONAL SKILL DEVELOPMENT CORPORATION,[NEW DELHI]",DNA1202400000340_20240105203203.pdf,
IN449,05125/15/0004/2324,05125,INDIA BRAND EQUITY FOUNDATION NEW DELHI,DNA1202400000388_20240106174104.pdf,
NE282,49120/12/0003/2324,49120,NEW SPACE INDIA LTD,DNA1202400000036_20240102142845.pdf,
NA2044,37107/15/0043/2324,37107,"NATIONAL HIGHWAY AUTHORITY OF INDIA, NEW DELHI",DNA1202400003209_20240212211029.pdf,
16468,21300/12/0001/2324,21300,"ALL INDIA COUNCIL FOR TECHNICAL EDU, NEW DELHI",DNA1202400000217_20240104184654.pdf,
MS238,25113/12/0069/2324,25113,MSME VARANASI,davp_release_order_20231213144433.pdf,
TR173,43104/15/0040/2324,43104,TRIBAL COOPERATIVE MARKETING DEV. FED.OF INDIA LTD,DNA1202400003066_20240210183115.pdf,
92275,06132/12/0001/2425,06132,"CDAC-CENTRE FOR DEV OF ADVANCE COMPG.,[PUNE]",DNA1202400009400_20240603205503.pdf,
40598,10301/11/0022/2425,10301,"DEFENCE RESEARCH & DEVELOPMENT,[AGRA CANTT]",DNA1202400008368_20240510152532.pdf,
DE2149,38117/11/0002/2425,38117,DEPT.OF EMPOWERMENT OF PERSONS AND DISABILITY,DNA1202400010308_20240621210605.pdf,
142047,19112/11/0063/2425,19112,"INDO TIBETAN BORDER POLICE FORCE,[SRINAGAR]",DNA1202400009256_20240531144308.pdf,
DE363,17201/13/0003/2425,17201,"DEPTT. OF AYUSH,NEW DELHI",DNA1202400010210_20240619223120.pdf,
158974,17219/12/0011/2324,17219,"ALL INDIA INSTITUTE OF AYURVED ,MATHURA ROAD NEW DELHI",DNA1202400006192_20240319210456.pdf,
MI451,37107/15/0055/2324,37107,"MINISTRY OF ROAD TRANSPORT & HIGHWAY,MORADABAD",DNA1202400005408_20240311150918.pdf,
2275,48123/12/0001/2425,48123,"HARISH CHANDRA RESEARCH INSTT, ALLAHABAD","DNA1202400015070_20240921144747.pdf,DNA1202400015070-A_20240921145305.pdf",
46392,05201/11/0010/2425,05201,"DEPT OF INDUSTRIAL POLICY AND PROMOTION[LEATHER SECTION],[NEW DELHI]",DNA1202400012344_20240802150637.pdf,
198858,41117/15/0001/2425,41117,"JUTE COMMISSIONER, CGO COMPLEX, 3RD MSO BUILDING,  ,KOLKATA",DNA1202400013159_20240814221626.pdf,
126385,08109/12/0004/2425,08109,"WAREHOUSING DEVELOPMENT AND REGULATORY AUTHORITY WAREHOUSING, HAUZ KHAS, [NEW DELHI]",DNA1202400012808_20240809205346.pdf,
16644,10401/11/0005/2425,10401,"DIRECTORATE GENERAL OF RESETTLEMENT, NEW DELHI",DNA1202400013055_20240814151150.pdf,
200385,15502/11/0002/2425,15502,"CENTRAL EXICE & CUSTOM DEPT ,NEW DELHI",DNA1202400013872_20240830204203.pdf,
TH674,41122/12/0014/2425,41122,THE JUTE CORP. OF INDIA LTD.,DNA1202400014158_20240905143743.pdf,
135367,48143/12/0003/2425,48143,"DEPARTMENT OF ATOMIC ENERGY, HEAVY WATER BOARD., [MUMBAI]",DNA1202400012064_20240727161706.pdf,
LA629,19142/11/0006/2425,19142,LAND PORTS AUTHORITY OF INDIA,DNA1202400014089_20240903202357.pdf,
DE2187,10301/11/0072/2425,10301,"DEPTT. OF DEFENCE RESEARCH & DEVELOPMENT/DRDO,AGRA",DNA1202400011982_20240726163331.pdf,
MS284,25113/12/0070/2425,25113,"MSME DEVELOPMENT INSTITUTE ,INDORE 452015 M.P",DNA1202400014809_20240917183940.pdf,
DE1782,02101/11/0002/2425,02101,DEPARTMENT OF CHEMICAL AND PETROCHEMICALS,DNA1202400010690_20240705213549.pdf,
16998,09104/12/0002/2425,09104,"SAHITYA ACADEMY, NEW DELHI",DNA1202400012197_20240731152416.pdf,
16132,44101/13/0001/2425,44101,"MINISTRY OF URBAN DEVELOPMENT, NEW DELHI",DNA1202400018268_20241119184137.pdf,
16910,09109/12/0002/2425,09109,"NATIONAL MUSEUM, NEW DELHI",DNA1202400020147_20241220201737.pdf,
CU46,19148/11/0004/2425,19148,CUSTODIAN OF ENEMY PROPERTY FOR INDIA NEW DELHI,DNA1202400018180_20241116193218.pdf,
DE2295,06169/12/0002/2425,06169,"DEPT OF CENTRE FOR MATERIALS FOR ELEC. TEC.,PUNE",DNA1202400018883_20241129143121.pdf,
15822,06301/13/0003/2425,06301,"DEPT OF POST, NEW DELHI",DNA1202400017212_20241028185447.pdf,
CE26,34104/12/0007/2425,34104,"CENTRAL POWER  RESEARCH INSTITUTE,BANGALORE",DNA1202400018458_20241122152345.pdf,
162747,01111/11/0009/2425,01111,"NATIONAL SEED RESEARCH & TRAINING CENTRE,[VARANASI] ,G.T. ROAD COLLECTRY FARM",DNA1202400018460_20241122152715.pdf,
CE240,59101/13/0002/2425,59101,CENTRAL VIGILANCE COMMISSION NEW DELHI,DNA1202400017176_20241026202814.pdf,
16120,30101/13/0005/2425,30101,"MINISTRY OF PANCHAYAT RAJ, NEW DELHI",DNA1202400020483_20241226214242.pdf,
DE1705,47107/13/0005/2425,47107,"DEPARTMENT OF YOUTH AFFAIRS,NEW DELHI",DNA1202400018604_20241125142139.pdf,
16764,37203/12/0011/2425,37203,"INDIAN PORTS ASSOCIATION, NEW DELHI",DNA1202400019616_20241211185802.pdf,
DE1628,24201/11/0006/2425,24201,"DEPTT. OF LEGAL AFFAIRS,NEW DELHI",DNA1202400016611_20241018160559.pdf,
15819,06101/11/0002/2425,06101,"DEPT OF INFORMATION TECHNOLOGY, NEW DELHI",DNA1202400020506_20241227173953.pdf,
16596,17110/11/0001/2425,17110,"DENTAL COUNCIL OF INDIA, NEW DELHI",DNA1202400015990_20241007165537.pdf,
MO1366,10622/11/0068/2425,10622,"MOD CHEQUE,JABALPUR",DNA1202400019327_20241206185640.pdf,
CE285,20105/15/0008/2425,20105,CENTRAL GOVT EMPLOYEES WELFARE HOUSING ORGANISATIO,DNA1202400018109_20241114205318.pdf,
232842,05201/13/0016/2425,05201,"DEPARTMENT OF INDUSTRIAL POLICY & PROMOTION ,NEW DELHI",DNA1202400014537_20240928194325.pdf,
91069,19111/11/0048/2425,19111,"CENTRAL RESERVE POLICE FORCE,[56 APO]",DNA1202400017073_20241025175953.pdf,
75690,10103/11/0005/2425,10103,"DG EME,[MEERUT CANTT]",DNA1202400020509_20241227174605.pdf,
IN1300,21346/12/0011/2425,21346,INDIAN INST OF INFORMATION TECHNOLOGY-GANDHINAGAR,DNA1202400020294_20241223191433.pdf,
171481,37211/15/0003/2425,37211,"INLAND WATERWAYS AUTHORITY OF INDIA ,NOIDA",DNA1202400019826_20241214204836.pdf,
NA1690,06149/12/0024/2425,06149,NATIONAL INST OF ELECTRONIC & INFOR TEC. KURUSHETR,DNA1202500004392_20250315190944.pdf,
117726,15201/13/0007/2425,15201,"ECONOMIC AFFAIRS,[NEW DELHI]",DNA1202500002153_20250205211925.pdf,
18593,46102/11/0001/2425,46102,"CENTRAL ADOPTION RESOURCE AUTHORITY, NEW DELHI",DNA1202500004795_20250321203429.pdf,
117539,39103/11/0018/2425,39103,"INDIAN STATISTICAL INSTITUTE,[KOLKATA]",DNA1202500002543_20250212181304.pdf,
53464,10110/13/0004/2425,10110,"DTE GENERAL NCC,[NEW DELHI]",DNA1202500001476_20250124205237.pdf,
104229,06171/12/0001/2425,06171,"NATIONAL INSTITUTE OF ELECTRONICS & INFORMATIONA TECHNOLOGY,[NEW DELHI]",DNA1202500005284_20250329160044.pdf,
93275,15201/13/0010/2425,15201,"DEPT OF ECONOMIC AFFAIRS,[NEW DELHI]",DNA1202500002840_20250217210709.pdf,
16552,06108/12/0012/2425,06108,"CONTROLLER OF CERTIFYING AUTHORITIES, NEW DELHI",DNA1202500000599_20250110160250.pdf,
DE2245,21231/12/0022/2425,21231,"DELHI UNIVERSITY,NEW DELHI",DNA1202500003154_20250221195536.pdf,
168806,25103/15/0003/2425,25103,"KHADI & VILLAGE INDUSTRIES COMMISSION MUMBAI ,MUMBAI",DNA1202500004584_20250319185135.pdf,
CE312,17194/11/0019/2425,17194,CENTRAL DRUGS STANDARD CONTROL ORGANISATION,DNA1202500000596_20250110155654.pdf,
NA2279,06124/13/0001/2526,06124,NATIONAL E GOVERNANCE PLAN,DNA1202500010964_20250630190659.pdf,
16861,37101/13/0009/2526,37101,"MINISTRY OF SHIPPING ROAD TRANSPORT&HIGH, NEW DELHI",DNA1202500009823_20250611180543.pdf,
16504,58101/11/0001/2526,58101,"CABINET SECRETRAIT, NEW DELHI",DNA1202500006722_20250425154119.pdf,
NA325,28102/12/0001/2526,28102,"NATIONAL INSTITUTE OF SOLAR ENERGY,GURGAON",DNA1202500009047_20250604192038.pdf,
IN647,15228/12/0001/2526,15228,INTERNATIONAL FINANCIAL SERVICES CENTRES AUTHORITY,DNA1202500008575_20250528181628.pdf,
16128,40101/13/0003/2526,40101,"MINISTRY OF STEEL, NEW DELHI","DNA1202500006417_20250419190229.pdf,DNA1202500006417--REV RO_20250419203617.pdf",
CE293,06140/12/0003/2526,06140,CENTRE FOR DEVELOPMENT OF ADVANCED COMPUTING,DNA1202500007164_20250502204703.pdf,
